"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
179,"2018-2019","6001","Budget","Market Stabilisation Scheme","Repayments","European Investment Bank (EIB) ",""
180,"2018-2019","7601","Revised","Recoveries of Loans & Advances","State Governments","Gross Receipts ",8902.93
181,"2018-2019","7601","Revised","Recoveries of Loans & Advances","State Governments","Recoveries ",-100.0
182,"2018-2019","7602","Revised","Recoveries of Loans & Advances","Union Territories (With Legislature)","Recoveries ",442.69
183,"2018-2019","7605","Revised","Recoveries of Loans & Advances","Foreign Governments","Recoveries ",348.34
184,"2018-2019","9001","Revised","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Gross Receipts ",55061.2
185,"2018-2019","9001","Revised","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Recoveries ",-51500.0
186,"2018-2019","4000","Revised","Miscellaneous Capital Receipts","Disinvestment Receipts","Recoveries ",80000.0
187,"2018-2019","4000","Revised","Miscellaneous Capital Receipts","Issue of Bonus Shares","Recoveries ",252.18
188,"2018-2019","4000","Revised","Miscellaneous Capital Receipts","Receipts netted with Bonus Shares","Recoveries ",-252.18
189,"2018-2019","6001","Revised","Borrowings","Market Loans","Gross Borrowings ",571000.0
190,"2018-2019","6001","Revised","Borrowings","Market Loans","Repayments ",-148263.08
191,"2018-2019","6001","Revised","Borrowings","Issuance of Special Securities to Public Sector Banks","Issue of Securities ",106000.0
192,"2018-2019","6001","Revised","Borrowings","Issuance of Special Securities to Public Sector Banks","Repayments ",""
193,"2018-2019","6001","Revised","Borrowings","Issuance of Special Securities to Public Sector Banks","Less Receipts netted ",-106000.0
194,"2018-2019","6001","Revised","Borrowings","Issuance of Special Securities to EXIM Bank","Issue of Securities ",4500.0
195,"2018-2019","6001","Revised","Borrowings","Issuance of Special Securities to EXIM Bank","Repayments ",""
196,"2018-2019","6001","Revised","Borrowings","Issuance of Special Securities to EXIM Bank","Less Receipts netted ",-4500.0
197,"2018-2019","6001","Revised","Borrowings","Switching of Securities","Gross Borrowings ",28059.0
198,"2018-2019","6001","Revised","Borrowings","Switching of Securities","Repayments ",-28059.0
199,"2018-2019","6001","Revised","Borrowings","Buyback","Gross Borrowings ",""
200,"2018-2019","6001","Revised","Borrowings","Buyback","Repayments ",""
201,"2018-2019","6001","Revised","Borrowings","Short Term Borrowings","14 Days Treasury Bills Gross Borrowings",3771818.3
202,"2018-2019","6001","Revised","Borrowings","Short Term Borrowings","14 Days Treasury Bills Repayments",-3771818.3
203,"2018-2019","6001","Revised","Borrowings","Short Term Borrowings","91 Days Treasury Bills Gross Borrowings",663316.47
204,"2018-2019","6001","Revised","Borrowings","Short Term Borrowings","91 Days Treasury Bills Repayment",-706707.7
205,"2018-2019","6001","Revised","Borrowings","Short Term Borrowings","182 Days Treasury Bills Gross Borrowings",258769.34
